Purchase Month,Purchase Day,Category,Title,Author,Hours,Minutes,Link,Image
229,pages,Fiction,Harry Potter and the Sorceror's Stone (Korean Book 1),J.K. Rowling,7,38,http://www.yes24.com/24/goods/375341?scode=032&OzSrank=39,
January,4,Personal Development,The Compound Effect,Darren Hardy,4,59,https://www.audible.com/pd/The-Compound-Effect-Audiobook/B00ULNQ5ZA,
January,7,Business,48 Laws of Power,Robert Greene,23,7,https://www.audible.com/pd/48-Laws-of-Power-Part-1-Audiobook/B00WYDJ2YQ,
February,25,Business,The School of Greatness,Lewis Howes,6,43,https://www.audible.com/pd/The-School-of-Greatness-Audiobook/B019HGILTO,
February,25,Business,"Smarter, Faster, Better",Charles Duhigg,10,22,https://www.audible.com/pd/Smarter-Faster-Better-Audiobook/B017WRZO9U,
February,25,Personal Development,Level Up Your Life,Steve Kamb,6,49,https://www.audible.com/pd/Level-Up-Your-Life-How-to-Unlock-Adventure-and-Happiness-by-Becoming-the-Hero-of-Your-Own-Story-Audiobook/B01B8IRDDO,
March,2,Business,So Good They Can't Ignore You,Cal Newport,6,28,https://www.audible.com/pd/So-Good-They-Cant-Ignore-You-Audiobook/B00995OX28,
March,16,Personal Development,Deep Work,Cal Newport,7,44,https://www.audible.com/pd/Deep-Work-Audiobook/B0189PX1RQ,
April,14,Personal Development,The War of Art,Steven Pressfield,2,56,https://www.audible.com/pd/The-War-of-Art-Audiobook/B005CCLF32,
April,14,Business,Money: Master the Game,Tony Robbins,21,3,https://www.audible.com/pd/MONEY-Master-the-Game-Part-1-Audiobook/B00OPAR4MI,
May,2,Psychology,Grit,Angela Duckworth,9,22,https://www.audible.com/pd/Grit-Audiobook/B01D3AC5BA,
May,22,Business,Book Yourself Solid,Michael Port,10,21,https://www.audible.com/pd/Book-Yourself-Solid-2nd-Edition-Part-1-Audiobook/B0050DY2GA,
May,22,Psychology,Make It Stick,Peter C. Brown,8,34,https://www.audible.com/pd/Make-It-Stick-Audiobook/B00M0EO7EY,
June,10,Business,Triggers,"Marshall Goldsmith, Mark Reiter",6,36,https://www.audible.com/pd/Triggers-Audiobook/B00UKG1SCI,
June,10,Business,"Creativity, Inc.","Ed Catmull, Amy Wallace",12,52,https://www.audible.com/pd/Creativity-Inc-Part-1-Audiobook/B00IPK3BWQ,
June,10,Business,Growth Hacker Marketing,Ryan Holiday,2,17,https://www.audible.com/pd/Growth-Hacker-Marketing-Audiobook/B00OQQUDDI,
June,10,Personal Development,The Obstacle is the Way,Ryan Holiday,6,7,https://www.audible.com/pd/The-Obstacle-Is-the-Way-Audiobook/B00K252ET8,
June,18,Biography,Meditations of Marcus Aurelius,Marcus Aurelius,5,42,https://www.audible.com/pd/Meditations-of-Marcus-Aurelius-Audiobook/B008GWRVEW,
July,11,Business,How to Stay Motivated,Zig Ziglar,7,48,https://www.audible.com/pd/How-to-Stay-Motivated-Audiobook/B002V8MXYK,
August,9,Psychology,Mastery,Robert Greene,16,8,https://www.audible.com/pd/Mastery-Part-1-Audiobook/B00A4OPH0U,
August,26,Biography,A Thousand Miles to Freedom,"Sebastien Falletti, Eunsun Kim",5,33,https://www.audible.com/pd/A-Thousand-Miles-to-Freedom-Audiobook/B010VZ4K8G,
September,19,Personal Development,The Life-Changing Magic of Tidying Up,Marie Kondo,4,50,https://www.audible.com/pd/The-Life-Changing-Magic-of-Tidying-Up-Audiobook/B00RC3M6OG,
October,2,Business,Algorithms to Live By,"Brian Christian, Tom Griffiths",11,50,https://www.audible.com/pd/Algorithms-to-Live-By-Audiobook/B01D24NLWO,
October,2,Fiction,Ready Player One,Ernest Cline,15,46,https://www.audible.com/pd/Ready-Player-One-Part-1-Audiobook/B005FRGT44,
November,13,Business,How to Win Friends & Influence People,Dale Carnegie,7,19,https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96,
November,27,Biography,Born a Crime,Trevor Noah,8,50,https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,
November,3,Biography,Wizard: The Life and Times of Nikola Tesla,Marc J. Seifer,22,17,https://www.audible.com/pd/Wizard-Part-1-Audiobook/B0062PG1Z0,
